"PAG_NAME","DSCR"
"AE","Adverse Event Log"
"AGE_AT_VISIT","Patient age at visit"
"AMBULATORY","Derived ambulatory metrics from digital sensor recordings"
"AVCNSNT","Early Imaging Documentation of Informed Consent"
"AVCONCL","Early Imaging Conclusion of Study Participation"
"AVELIG","Early Imaging Eligibility"
"AVIMAG","Early Imaging AV-133 Imaging"
"AVPREGNANC","Early Imaging Pregnancy Test"
"AVREPPREG","Early Imaging Report of Pregnancy"
"AVSCRNFAIL","Early Imaging Screen Fail"
"AVTEL","Early Imaging Adverse Event Telephone Assessment"
"Biospecimen_Analysis","Biospecimin testing results"
"BIOSPECIMEN_BRAIN_CATALOG","Catalog of Postmortem Brain Samples"
"BIOSPECIMEN_CELL_CATALOG","Metadata of available ISUM Cell lines"
"BIOSPECIMEN_SLIDE_CATALOG","Catalog of Postmortem Brain pathology slides"
"CAFFEINE_ONL","Caffeine Consumption"
"CLCKDRAW","Clock Drawing"
"CLINLAB","Clinical Labs"
"CNOPAT","Center - Participant"
"COGCATG","Cognitive Categorization"
"COGCHNG","Cognitive Change"
"COGCHNG_ONL","Cognitive Change"
"CONCL","Conclusion of Study Participation"
"CONMED","Concomitant Medication Log"
"CONSENT","Documentation of Informed Consent"
"CONSTIPATION_ONL","Assessment of constipation"
"CONTCNSNT","Continuing Consent"
"COVANCE","Blood Chemistry and Hematology Data"
"COVIDHX_ONL","COVID-19 history"
"DATCNSNT","Documentation of Screening DaTscan Imaging Consent"
"DATSCAN","DaTscan Imaging"
"DATSCAN_ACQUISITION","DaTScan Metadata"
"DATSCAN_SBR","DaTScan Analysis"
"DATSCAN_VI_RESULTS","DaTScan Visual Interpretation Results"
"DTIROI","DTI Regions of Interest"
"DTRMFALL","Determination of Freezing and Falls"
"EKG","Early Imaging ECG"
"EPWORTH","Epworth Sleepiness Scale"
"EPWORTH_ONL","Epworth Sleepiness Scale"
"ETHNICITY_ONL","Race and ethnicity"
"FALLSBL_ONL","History of falls (baseline)"
"FALLSSV_ONL","History of falls (surveillance)"
"FAMHXPD","Family History"
"FAMILYHXPD_ONL","Family History of Parkinsonâ€™s disease (1st degree relatives)"
"FEATPD","Features of Parkinsonism"
"FOUND","Patient Consent and followup visit data"
"FOUNDSRDX","Patient Self-reported diagnosis"
"GAIT","Gait Data & Arm swing"
"GDSSHORT","Geriatric Depression Scale (Short Version)"
"GDSSHORT_ONL","Geriatric Depression Scale (Short Version)"
"GENPHYEX","General Physical Exam"
"GMVOLUME","Grey Matter volume extraction from MRI T1"
"HEAD_ONL","Head Injuries"
"HEALTHHXANNUAL_ONL","Health History (Annually)"
"HEALTHHXQUART_ONL","Health History (Quarterly)"
"HIGHINTQXNONPD_ONL","High interest questions for non-PD cohort"
"HIGHINTQXPD_ONL","High interest questions for PD cohort"
"HVLT","Hopkins Verbal Learning Test - Revised"
"HYPOSMIA1Q_ONL","Hyposmia 1Qx from Remote"
"ICFLOG","Informed Consent Tracking Log"
"INBEDTIMES","Derived rest metrics from digital sensor recordings"
"INEX","Inclusion Exclusion"
"iu_genetic_consensus","Genetic Data - Consensus APOE Genotype and Coding Variants for GBA and LRRK2"
"IUSM_CATALOG","Metadata of ISUM Biospecimins collected"
"LAB","Research Biospecimens"
"LEDDLOG","LEDD Concomitant Medication Log"
"LEXICAL","Lexical Fluency"
"LINEORNT","Benton Judgement of Line Orientation"
"LNSPD","Letter - Number Sequencing"
"LUMBAR","Lumbar Puncture"
"MEDICATIONHX_ONL","Medication history"
"MHXGEN","Medical Conditions Log"
"MOCA","Montreal Cognitive Assessment (MoCA)"
"MODBSTN","Modified Boston Naming Test"
"MODSEADL","Modified Schwab & England Activities of Daily Living"
"MRI","Magnetic Resonance Imaging (MRI)"
"MRI_ACQUISITION","MRI Metadata"
"MUTRSLT","Genetic Testing Results"
"NQCOGNS","Neuro QoL: Cognition Function - Short Form"
"NQCOMMS","Neuro QoL: Communication - Short Form"
"NQOLLEFS","Neuro QoL: Lower Extremity Function (Mobility) - Short Form"
"NQOLUEFS","Neuro QoL: Upper Extremity Function (Fine Motor, ADL) - Short Form"
"NUPDRDOSE","MDS-UPDRS Part III ON/OFF Determination & Dosing"
"NUPDRS1","MDS-UPDRS Part I: Non-Motor Aspects of Experiences of Daily Living (nM-EDL)"
"NUPDRS1P","MDS-UPDRS Part I Patient Questionnaire: Non-Motor Aspects of Experiences of Daily Living (nM-EDL)"
"NUPDRS1P_ONL","MDS-UPDRS Part I Patient Questionnaire: Non-Motor Aspects of Experiences of Daily Living (nM-EDL)"
"NUPDRS2P","MDS-UPDRS Part II Patient Questionnaire: Motor Aspects of Experiences of Daily Living (M-EDL)"
"NUPDRS2P_ONL","MDS-UPDRS Part II Patient Questionnaire: Motor Aspects of Experiences of Daily Living (M-EDL)"
"NUPDRS3","MDS UPDRS Part III"
"NUPDRS4","MDS-UPDRS Part IV: Motor Complications"
"ONWRIST","Derived wearable metrics from digital sensor recordings"
"OTHCTRL","Participation in Other Studies Log"
"OTHFEATPD","Other Clinical Features"
"PARTICIPANTS_ONL","Participant enrollement status"
"PAS_ONL","Parkinson Anxiety Scale (PAS)"
"PATH_RESULTS","Postmortem Brain Pathology Results"
"PATIENT_STATUS","Participant Status"
"PDAGE_ONL","Age of Parkinson's disease diagnosis"
"PDAQ15_ONL","Penn Parkinsonâ€™s Daily Activities Questionnaire-15"
"PDDXHIST","PD Diagnosis History"
